shot,attempt,year
Lay-Ups,0.19,2009-2010
Close Jump Shots,0.074,2009-2010
Mid-Range Jump Shots,0.113,2009-2010
Long Range Jump Shots,0.29,2009-2010
3-Pointers,0.332,2009-2010
Lay-Ups,0.169,2010-2011
Close Jump Shots,0.117,2010-2011
Mid-Range Jump Shots,0.109,2010-2011
Long Range Jump Shots,0.28,2010-2011
3-Pointers,0.325,2010-2011
Lay-Ups,0.108,2011-2012
Close Jump Shots,0.101,2011-2012
Mid-Range Jump Shots,0.081,2011-2012
Long Range Jump Shots,0.301,2011-2012
3-Pointers,0.409,2011-2012
Lay-Ups,0.1,2012-2013
Close Jump Shots,0.103,2012-2013
Mid-Range Jump Shots,0.099,2012-2013
Long Range Jump Shots,0.265,2012-2013
3-Pointers,0.432,2012-2013
Lay-Ups,0.139,2013-2014
Close Jump Shots,0.095,2013-2014
Mid-Range Jump Shots,0.077,2013-2014
Long Range Jump Shots,0.245,2013-2014
3-Pointers,0.445,2013-2014
Lay-Ups,0.186,2014-2015
Close Jump Shots,0.098,2014-2015
Mid-Range Jump Shots,0.072,2014-2015
Long Range Jump Shots,0.163,2014-2015
3-Pointers,0.482,2014-2015
Lay-Ups,0.224,2015-2016
Close Jump Shots,0.084,2015-2016
Mid-Range Jump Shots,0.048,2015-2016
Long Range Jump Shots,0.088,2015-2016
3-Pointers,0.554,2015-2016
Lay-Ups,0.219,2016-2017
Close Jump Shots,0.069,2016-2017
Mid-Range Jump Shots,0.049,2016-2017
Long Range Jump Shots,0.116,2016-2017
3-Pointers,0.547,2016-2017